arXiv	Title	Authors
\href{file:/home/jibran/Desktop/resources/9505320.pdf}{9505320}	\href{https://arxiv.org/abs/hep-ph/9505320v1}{Gluon Production at High Transverse Momentum in }	Kovner, McLerran, Weigert    
\href{file:/home/jibran/Desktop/resources/9606337.pdf}{9606337}	\href{https://arxiv.org/abs/hep-ph/9606337v1}{The Intrinsic Glue Distribution at Very Small x}	Jalilian-Marian, Kovner, McLerran, Weigert    
\href{file:/home/jibran/Desktop/resources/9701284.pdf}{9701284}	\href{https://arxiv.org/abs/hep-ph/9701284v1}{The BFKL Equation from the Wilson Renormalizatio}	Jalilian-Marian, Kovner, Leonidov, Weigert    
\href{file:/home/jibran/Desktop/resources/9706377.pdf}{9706377}	\href{https://arxiv.org/abs/hep-ph/9706377v1}{The Wilson renormalization group for low x physi}	Marian, Kovner, Leonidov, Weigert    
\href{file:/home/jibran/Desktop/resources/9709432.pdf}{9709432}	\href{https://arxiv.org/abs/hep-ph/9709432v2}{The Wilson renormalization group for low x physi}	Jalilian-Marian, Kovner, Weigert    
\href{file:/home/jibran/Desktop/resources/9811101.pdf}{9811101}	\href{https://arxiv.org/abs/hep-th/9811101v1}{Supergravity, Brane Dynamics and String Duality}	West,     
\href{file:/home/jibran/Desktop/resources/0004044.pdf}{0004044}	\href{https://arxiv.org/abs/hep-ph/0004044v3}{Unitarity at small Bjorken x}	Weigert    
\href{file:/home/jibran/Desktop/resources/0110169.pdf}{0110169}	\href{https://arxiv.org/abs/hep-ph/0110169v1}{A Simple Derivation of the JIMWLK Equation}	Mueller    
\href{file:/home/jibran/Desktop/resources/0206076.pdf}{0206076}	\href{https://arxiv.org/abs/hep-ph/0206076v2}{Away-from-jet energy flow}	Banfi, Marchesini, Smye    
\href{file:/home/jibran/Desktop/resources/0312050.pdf}{0312050}	\href{https://arxiv.org/abs/hep-ph/0312050v1}{Non-global jet evolution at finite $N_{c}$}	Weigert    
\href{file:/home/jibran/Desktop/resources/0312336.pdf}{0312336}	\href{https://arxiv.org/abs/hep-ph/0312336v1}{Sudakov Form Factors}	Collins    
\href{file:/home/jibran/Desktop/resources/0401014.pdf}{0401014}	\href{https://arxiv.org/abs/math-ph/0401014v2}{Canonical bases for real representations of Clif}	Bilge, Kocak, Uguz    
